Districte,Denúncies per infracció de l’ordenança de convivència ciutadana (% habitants),Incidents per degradació de l'espai públic (‰ habitants),Incidents en la convivència veïnal (‰ habitants),Incidents per activitats molestes a l’espai públic (‰ habitants),Incidents per activitats indegudes a l’espai públic (‰ habitants)
Barcelona,2,17,1,83,36,42,29,76,4,21
1.Ciutat Vella,17,16,3,24,73,64,78,57,16,90
2.L'Eixample,0,95,1,44,44,28,22,30,4,76
3.Sants-Montjuïc,0,73,2,05,38,47,33,29,3,62
4.Les Corts,0,21,1,48,25,01,20,24,2,31
5.Sarrià-Sant Gervasi,0,48,1,30,31,39,18,72,2,19
6.Gràcia,0,79,1,38,37,70,24,45,2,84
7.Horta-Guinardó,0,55,1,62,29,19,21,46,2,77
8.Nou Barris,1,21,1,52,32,62,30,80,3,17
9.Sant Andreu,0,57,1,80,28,00,22,90,2,50
10.Sant Martí,3,30,2,05,28,37,31,64,3,14
